artist,song,genre,subgenre,year,beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20
Aerosmith,I Don't Want to Miss a Thing,Rock,Rock Baladas,1998,566,120.18531977,4.990909099578857,0.058566002566473,4784.067696689609,2373.205908274087,2737.7807096762144,0.40262324,7.7e-07,9.9e-07,1.19e-06,1.27e-06,1.27e-06,1.28e-06,1.28e-06,1.36e-06,1.49e-06,1.62e-06,1.79e-06,2e-06,2.07e-06,2.31e-06,8.357e-05,0.00279685,0.00448141,0.0080053,0.01208884,0.01714133
Air Supply,Making Love Out Of Nothing At All,Rock,Rock Baladas,1983,675,139.67483108,-10.6455717086792,0.0627646494053518,4325.851912862364,2285.2244706372658,2444.7316259641366,0.3375652,0.0,0.0,6.7e-07,5.675e-05,0.00044845,0.00053108,0.00064465,0.00072447,0.00067316,0.00069607,0.00069915,0.000701,0.00067474,0.00068113,0.00066409,0.00063756,0.00067637,0.00070867,0.00148866,0.0084729
Alias,More Than Words Can Say,Rock,Rock Baladas,1990,231,68.90625,-11.51412582397461,0.0480597174657534,3326.2261100949563,1727.1962129677297,1905.334860010016,0.3677135,0.0,3.6e-07,3.125e-05,0.00026659,0.00037298,0.00046185,0.00053059,0.0005341,0.00053564,0.00053036,0.00053389,0.000533,0.0005308,0.00053498,0.00053093,0.00052797,0.0005309,0.00053191,0.00053104,0.00053212
Berlin,Take My Breath Away,Rock,Rock Baladas,1986,398,95.703125,2.2194223403930664,0.0757057011939824,6979.709487883316,3204.808152309913,3392.683204621713,0.4107767,1e-08,1.1e-07,4.24e-06,5.932e-05,0.00040049,0.00066467,0.00082497,0.00095114,0.0009853,0.00095145,0.00096473,0.004357,0.00768934,0.01106481,0.06172242,0.10297775,0.13086922,0.15373662,0.15759523,0.15234491
Bon Jovi,I'll Be There For You,Rock,Rock Baladas,1988,795,148.02631579,5.5622148513793945,0.0717611296633707,5502.767848853403,2722.813195829365,2722.7046241185576,0.42615786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston,Amanda,Rock,Rock Baladas,1986,512,126.04801829,-5.342806339263916,0.0568909672501132,4255.648322974445,2021.0552628170008,2155.353163252056,0.4058462,0.0,1e-07,2.4e-07,3.39e-06,6.64e-06,9.05e-06,1.113e-05,1.2e-05,1.14e-05,9.63e-06,7.13e-06,4e-06,7.5e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Adams,Heaven,Rock,Rock Baladas,1984,263,69.83741554,6.11000919342041,0.0560351815530583,5083.84549057931,2470.3780658565547,2916.4196128880444,0.44245857,7.7e-07,9.9e-07,1.19e-06,1.27e-06,1.27e-06,1.28e-06,1.28e-06,1.36e-06,1.49e-06,1.73e-06,3.33e-06,5e-06,6.7e-06,1.056e-05,1.948e-05,8.208e-05,0.00017582,0.0003949,0.00064122,0.00112766
Captain and Tennille,Do that to me one more time,Rock,Rock Baladas,1979,259,84.72079918,-10.350859642028809,0.0672643440175431,4967.3982051912935,2513.259437469389,2580.3652018542284,0.3422195,0.0,0.0,0.0,0.0,2.64e-05,0.0142167,0.02534943,0.03307458,0.04016557,0.0404353,0.04081888,0.038886,0.03594092,0.03765214,0.03378917,0.03456116,0.0337186,0.03359191,0.03447486,0.03338412
Crowded House,Weather With You,Rock,Rock Baladas,1992,298,93.96306818,0.4874691069126129,0.0447778685054134,4516.985622150585,1974.034138613244,2346.2258984565688,0.36638442,0.0,0.0,0.0,0.0,0.0,2e-08,5e-08,3e-07,1.06e-06,2.56e-06,9.9e-06,7e-05,0.00171373,0.02003737,0.04911107,0.06955411,0.07941669,0.08065998,0.0807569,0.07256132
Deep Purple,Child in Time,Rock,Rock Baladas,1968,340,93.96306818,-2.103812456130981,0.043099888678166,5561.682104565833,2411.435033901889,3220.410879819857,0.4333915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,Carrie,Rock,Rock Baladas,1986,1313,127.84090909,2.895113468170166,0.040416790931788,3703.6925632938623,1829.13263004622,2142.6249039932886,0.47796878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28e-06,5.64e-06,1.493e-05,1.943e-05,2.576e-05,3.316e-05,3.877e-05,8.433e-05
Paul Young,Every time go you away,Rock,Rock Baladas,1985,593,135.99917763,0.2453868240118026,0.0658904127602491,6014.728096505934,2805.096630761882,3240.4421986822617,0.36859578,0.0,0.0,6.155e-05,0.00049915,0.00077872,0.00098317,0.00109022,0.00113008,0.00108138,0.00105295,0.00104083,0.00099,0.00101267,0.00098068,0.0010296,0.0010369,0.00099893,0.00103625,0.00102566,0.00104793
Extreme,More Than Words,Rock,Rock Baladas,1990,334,81.52173913,2.174941301345825,0.0486509348663899,4689.559300554884,2242.06376108968,2574.396041899163,0.45432964,0.00069358,0.00100805,0.00109209,0.00111563,0.00088214,0.00049604,0.00026466,0.00013491,6.361e-05,3.794e-05,3.917e-05,4.5e-05,4.98e-05,5.399e-05,6.331e-05,8.63e-05,0.0001035,0.00011982,0.00013057,0.00012869
F.R David,Words,Rock,Rock Baladas,1982,375,92.28515625,-5.680043697357178,0.0334251617652069,3277.9740881985927,1653.4850574284335,2303.548407055071,0.36236095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-07,6.1e-07,9.7e-05,0.00035063,0.00099752,0.00113055,0.00216715,0.00249365,0.0039447,0.00433022,0.00534137
Firehouse,When I Look Into Your Eyes,Rock,Rock Baladas,1992,407,123.046875,0.8291967511177063,0.0356359028975232,4067.033261241129,1816.005194337751,2389.275468115485,0.35402963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Moore,Empty Rooms,Rock,Rock Baladas,1984,565,147.65625,3.300745248794556,0.0734542820521359,6876.519619571827,3110.629144062125,3349.348067065271,0.44361782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guns N' Roses,Don't Cry,Rock,Rock Baladas,1991,407,97.50884434,2.16091251373291,0.0716004482456287,6057.257670582848,2783.864405043917,2995.2475432628657,0.37529892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heart,Alone,Rock,Rock Baladas,1987,493,126.04801829,-10.252886772155762,0.0547639642607168,5402.076757008566,2631.663836903737,2996.0792636167653,0.5278519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
