artist,song,genre,subgenre,year,beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,beats_norm,zero_crossing_rate_norm,rolloff_norm,rmse_12_norm,spectral_bandwidth_norm,tempo_norm,spectral_centroid_norm,color
Allegro,Moments In Love,Electronica,Remember,1999,770,139.67483108,4.520317554473877,0.0636255637538079,7270.049028934404,3316.419711183968,3533.033750891589,0.5657011,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-07,2.5e-06,7.352e-05,0.00412664,0.0729185,0.124563,0.18686692,0.23735487,0.26478976,0.27130413,0.25880983,0.23965421,0.21613374,0.20443058,0.43370944992947813,0.3692911608788862,0.6931964802106684,0.24631748800180345,0.7668851423002727,0.7489480791625387,0.5469191780939704,#6831a0
Aquagen,Everybody Is Free,Electronica,Remember,2004,1227,139.67483108,-0.4118527472019195,0.0636192615260413,6161.79671455149,2899.6534056334194,3131.7346731099087,0.46041587,0.0,0.0,0.0,0.0,0.0,0.0,7.7e-07,8.23e-06,0.00011799,0.00230062,0.04322239,0.063526,0.07168371,0.07742349,0.06754746,0.05004219,0.03810417,0.02551529,0.01666647,0.01466953,0.7559943582510579,0.3692336333118887,0.5505799247547117,0.1256196843589394,0.6028315270985567,0.7489480791625387,0.4401705745825316,#7448a0
Butcher,Don't let the Sun go down,Electronica,Remember,2003,1251,143.5546875,4.432338714599609,0.0752487492102594,6556.200561774998,3169.100469777434,3163.3429291861053,0.5020294,4e-08,4.1e-07,3.03e-06,6.91e-06,1.631e-05,0.00020423,0.00033109,0.00042039,0.00050229,0.00054921,0.00059522,0.000621,0.00067731,0.0007862,0.0009742,0.00102049,0.00104369,0.00139498,0.00155313,0.0016359,0.7729196050775741,0.4753891320780387,0.6013341775720531,0.00122799836266885,0.61575318320648,0.7805937726574702,0.5091855055751764,#6c3585
C Base ,In The Beginning,Electronica,Remember,2003,1042,139.67483108,4.848339080810547,0.04883121640917,6450.717247897941,2818.407689942365,3374.871835513657,0.5789776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,1e-07,2.8e-07,1.52e-06,2.93e-06,6.24e-06,0.6255289139633287,0.23424640534584867,0.5877599520207156,0.0,0.7022275454066819,0.7489480791625387,0.419360670864786,#8950c3
Dave 202,Baracuda,Electronica,Remember,2001,1076,139.67483108,0.7859172224998474,0.0523626604058546,5509.449924046493,2553.181919377525,2983.772360424996,0.49661174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-08,5e-07,1.192e-05,0.00054852,0.001099,0.00286364,0.00563303,0.00970691,0.01437726,0.01842277,0.02220348,0.02404452,0.02488352,0.6495063469675599,0.26648189232620095,0.46663202677412025,0.002173220934900267,0.542343592653882,0.7489480791625387,0.3514269625827762,#8e63bb
David,Max Apology,Electronica,Remember,2000,756,161.49902344,5.228976726531982,0.0801172101128333,7293.895437556766,3447.0284613336053,3311.061935848971,0.58907145,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-07,1.91e-06,1.657e-05,0.00014569,0.00023053,0.000292,0.00032147,0.00035516,0.05181494,0.06889084,0.08458859,0.10471797,0.10332943,0.1044228,0.423836389280677,0.519829085872184,0.69626517911035,0.0005774162993547571,0.6761416526019505,0.9269551050511369,0.5803727022852566,#7a254a
Dj Crivi,Mankell (Gaupasa Version),Electronica,Remember,2001,691,99.38401442,-1.1418167352676392,0.0572908623900935,5144.183786345034,2486.556180059025,2627.9170647157025,0.5050564,0.0,0.0,0.0,0.0,1.2e-07,0.00209799,0.00267966,0.00267966,0.00267966,0.00166704,1.034e-05,0.001776,0.00286019,0.00620771,0.00700807,0.00778896,0.00910058,0.00769982,0.00755964,0.00713601,0.37799717912552894,0.3114671706000809,0.4196273891950964,0.0035119566700481117,0.3968676845792924,0.42031972371354115,0.33436175233078186,#65af8c
Dj Rai,A Hidde Place,Electronica,Remember,2001,1121,156.60511364,5.048874855041504,0.0674688385178415,7953.9458325552305,3630.2963224500136,3862.795071056317,0.571749,0.0,0.0,0.0,0.0,5.66e-06,5.661e-05,0.00013027,0.0651443,0.12805659,0.17553498,0.20851986,0.224159,0.21045399,0.18028751,0.15088417,0.12161601,0.10691056,0.10575741,0.10368124,0.10044695,0.6812411847672779,0.40437308026773455,0.7812044231257702,0.4432639049556952,0.9016936672183028,0.8870383780495122,0.6273140888180795,#972171
Dj Liberty,Seguro,Electronica,Remember,2004,710,139.67483108,2.484124183654785,0.0902076197138436,7603.388910353131,3664.00196035464,3468.833437253034,0.6037843,1.122e-05,1.219e-05,1.465e-05,3.659e-05,0.15462102,0.27712592,0.35927644,0.43511263,0.47417539,0.47090408,0.4840005,0.505701,0.52795291,0.53628719,0.53444618,0.50693136,0.48116729,0.47294086,0.44662192,0.42828798,0.3913963328631876,0.6119356767242999,0.7360926556276414,1.0,0.7406396457800467,0.7489480791625387,0.6359472957948961,#3e1a62
Jesus Elices,Maximizing the Audience,Electronica,Remember,2001,866,143.5546875,1.341450572013855,0.0676500305481702,6176.897974508217,2872.3204209310447,3140.206455554192,0.55484176,0.0,0.0,0.0,0.0,4.46e-06,0.00919894,0.01451118,0.0145528,0.01462578,0.03708115,0.06285941,0.082161,0.09357529,0.09501556,0.08824705,0.07798397,0.07297972,0.07404759,0.07091587,0.0706913,0.501410437235543,0.40602702503936006,0.552523245467985,0.16246952250440477,0.6062948456411006,0.7805937726574702,0.4331696296694738,#7c4397
Espada y Vidar,Sienteme,Electronica,Remember,2004,714,99.38401442,3.820247650146485,0.0442092380615626,6492.009886714565,2843.0894033887885,3564.006350917827,0.5810801,0.00016508,0.00310443,0.01020786,0.01181091,0.01481901,0.01554408,0.01276768,0.0150002,0.01454964,0.0136482,0.01337267,0.011481,0.01156786,0.01272288,0.01252184,0.01090491,0.00863386,0.00767827,0.00814396,0.00746351,0.3942172073342736,0.19205637685108973,0.5930737364696955,0.02270313881127386,0.7795469381722918,0.42031972371354115,0.4256825313597095,#53ce93
Fiocco,Afflitto,Electronica,Remember,1997,866,139.67483108,-0.5375840067863464,0.0904014832231136,7371.53764974523,3729.972456486174,3459.581275191248,0.5610283,1.122e-05,1.219e-05,1.342e-05,1.09e-05,9.95e-06,2.587e-05,5.027e-05,0.00042916,0.11121956,0.1841363,0.29910362,0.416529,0.49008882,0.5332306,0.52486247,0.4843809,0.42321101,0.38588339,0.35655424,0.32187688,0.501410437235543,0.6137052884284373,0.7062566446968349,0.8236665539518412,0.7368573030867652,0.7489480791625387,0.6528446750724631,#3f1c62
4 Non Blondes,What's Up,Rock,Rock Baladas,1993,639,135.99917763,3.8244221210479736,0.050281342544595,5474.412917318768,2530.7503483196097,3007.5152323174952,0.4776097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34132581100141046,0.24748334813815884,0.46212325458556175,0.0,0.5520498296847949,0.7189679484874228,0.3456814432039078,#8367bf
